"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_0302";"kp_rrif_030";"0302";"Energetska postrojenja (kotlovnice, generatori,solarne æelije, vjetro-elektrane, toplinske crpke i dr.)";"view";4;;;103;"Energetska postrojenja (kotlovnice, generatori, naponske i solarne æelije, vjetro-elektrane, toplinske crpke i dr.)"
"kp_rrif_0303";"kp_rrif_030";"0303";"Rashladna postrojenja";"view";4;;;21;
"kp_rrif_0304";"kp_rrif_030";"0304";"Prijenosna postrojenja (dizala, pokretne stepenice, elevatori, pokretne trake i sl.)";"view";4;;;84;
"kp_rrif_0305";"kp_rrif_030";"0305";"Poboljšanje na postrojenjima";"view";4;;;28;
"kp_rrif_0306";"kp_rrif_030";"0306";"Mlinska postrojenja";"view";4;;;19;
"kp_rrif_0307";"kp_rrif_030";"0307";"Postrojenje za pakiranje, ambalažu i sl.";"view";4;;;40;
"kp_rrif_0309";"kp_rrif_030";"0309";"Ostala postrojenja i postrojenja izvan uporabe";"view";4;;;46;
"kp_rrif_031";"kp_rrif_03";"031";"Oprema";"view";3;;;6;
"kp_rrif_0310";"kp_rrif_031";"0310";"Uredska oprema (fotokopirni, telefoni, telefaxi, blagajne, alarmi, klima, hladnjaci, televizori, i dr.)";"view";4;;;103;"Uredska oprema (fotokopirni aparati, telefoni, telefaxi, blagajne, alarmi, klimatizacijski ureðaji, hladnjaci, televizori, i dr.)"
"kp_rrif_0311";"kp_rrif_031";"0311";"Raèunalna oprema";"view";4;;;16;
"kp_rrif_0312";"kp_rrif_031";"0312";"Telekomunikacijska oprema (mobiteli, tel. centrale, antene i sl.)";"view";4;;;65;
"kp_rrif_0313";"kp_rrif_031";"0313";"Oprema trgovine (police, blagajne, hladnjaci, i dr.)";"view";4;;;52;
"kp_rrif_0314";"kp_rrif_031";"0314";"Oprema ugostiteljstva, hotela i sl. (aparati, štednjaci, hladnjaci, pokuæstvo i sl.)";"view";4;;;84;
"kp_rrif_0315";"kp_rrif_031";"0315";"Oprema servisa (dizalice, ispitni ureðaji, aparati i dr.)";"view";4;;;57;
"kp_rrif_0316";"kp_rrif_031";"0316";"Oprema za graditeljstvo (kranovi, bageri, skele, oplate, mješalice, dizalice, valjci i sl.)";"view";4;;;91;
"kp_rrif_0317";"kp_rrif_031";"0317";"Oprema ribarstva (osim brodova)";"view";4;;;31;
"kp_rrif_0318";"kp_rrif_031";"0318";"Oprema zaštite na radu i protupožarne zaštite";"view";4;;;45;
"kp_rrif_0319";"kp_rrif_031";"0319";"Ostala oprema i oprema izvan uporabe";"view";4;;;36;
"kp_rrif_032";"kp_rrif_03";"032";"Alati, pogonski inventar i transportna imovina";"view";3;;;46;
"kp_rrif_0320";"kp_rrif_032";"0320";"Transportna imovina";"view";4;;;19;
"kp_rrif_03200";"kp_rrif_0320";"03200";"Putnièka vozila (osobna i putnièki kombi) i motor kotaèi";"other";5;;;56;
"kp_rrif_03201";"kp_rrif_0320";"03201";"Teretna i vuèna vozila, tegljaèi i kamioni";"other";5;;;42;
"kp_rrif_03202";"kp_rrif_0320";"03202";"Prikljuèna transportna sredstva (prikolice)";"other";5;;;43;
"kp_rrif_03203";"kp_rrif_0320";"03203";"Teretna vozila (dostavna i kombi) i hladnjaèe, cisterne";"other";5;;;55;
"kp_rrif_03204";"kp_rrif_0320";"03204";"Auto mješalice, auto crpke za beton, auto dizalice i sl.";"other";5;;;56;
"kp_rrif_03205";"kp_rrif_0320";"03205";"Autobusi";"other";5;;;8;
"kp_rrif_03206";"kp_rrif_0320";"03206";"Zrakoplovi";"other";5;;;10;
"kp_rrif_03207";"kp_rrif_0320";"03207";"Brodovi (veæi od 1000 BRT)";"other";5;;;26;
"kp_rrif_03208";"kp_rrif_0320";"03208";"Brodice, jahte i ost. plovila";"other";5;;;29;
"kp_rrif_03209";"kp_rrif_0320";"03209";"Ostala transportna sredstva i ureðaji (gusjenièari, el. vozila, viljuškari, vagoni bicikli i dr.)";"other";5;;;97;"Ostala transportna sredstva i ureðaji (gusjenièari, el. vozila, viljuškari, vagoni, elevatori, traktori, bicikli i dr.)"
"kp_rrif_0321";"kp_rrif_032";"0321";"Pokuæstvo - inventar";"view";4;;;20;
"kp_rrif_03210";"kp_rrif_0321";"03210";"Uredsko pokuæstvo, sagovi, zavjese i sl.";"other";5;;;40;
"kp_rrif_03211";"kp_rrif_0321";"03211";"Inventar trgovine (police, pregrade, pultovi)";"other";5;;;45;
"kp_rrif_03212";"kp_rrif_0321";"03212";"Ugostiteljsko i hotelsko pokuæstvo i inventar";"other";5;;;45;
"kp_rrif_03213";"kp_rrif_0321";"03213";"Ostalo pokuæstvo i inventar";"other";5;;;27;
"kp_rrif_0322";"kp_rrif_032";"0322";"Pogonski i skladišni inventar (stalaže, zatvoreni ormari, skele, oplate, protupožarni aparati i sl.)";"view";4;;;100;"Pogonski i skladišni inventar (stalaže, zatvoreni ormari, skele, oplate, protupožarni aparati, zaštitna sredstva i sl.)"
"kp_rrif_0323";"kp_rrif_032";"0323";"Alati, mjerni i kontrolni instrumenti i pomoæna oprema";"view";4;;;54;
"kp_rrif_0324";"kp_rrif_032";"0324";"Audio i video aparati, kamere, parkir. rampe i sl.";"view";4;;;50;
"kp_rrif_0325";"kp_rrif_032";"0325";"Reklame (svjetleæe), stupovi i sl.";"view";4;;;34;
"kp_rrif_0326";"kp_rrif_032";"0326";"Inventar ustanova (aparati, kreveti i sl.)";"view";4;;;42;
"kp_rrif_0327";"kp_rrif_032";"0327";"Ostali pogonski inventar,";"view";4;;;25;
"kp_rrif_0328";"kp_rrif_032";"0328";"Višegodišnja ambalaža";"view";4;;;21;
"kp_rrif_0329";"kp_rrif_032";"0329";"Alati, inventar i vozila izvan uporabe";"view";4;;;38;
"kp_rrif_033";"kp_rrif_03";"033";"Pretporez koji se ne može odbiti (kao dio vrijed. os. aut.)";"view";3;;;59;
"kp_rrif_0330";"kp_rrif_033";"0330";"30% pretporeza od osobnih automobila (n. v. do 400.000,00 kn)";"view";4;;;61;
"kp_rrif_0331";"kp_rrif_033";"0331";"30% i 100% pretporeza od osobnih automobila (n. v. veæe od 400.000,00 kn)";"view";4;;;73;
