"code","name","note"
"217","Obveze iz eskontnih poslova","Obveze iz eskontnih poslova"
"2170","Obveze s temelja eskontiranih mjenica","Obveze s temelja eskontiranih mjenica"
"2171","Ostale obveze iz eskonta vrijednosnih papira","Ostale obveze iz eskonta vrijednosnih papira"
"2172","Obveze iz otkupa tražbina","Obveze iz otkupa tražbina"
"218","Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)","Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)"
"22","OBVEZE PREMA DOBAVLJAČIMA, ZA PREDUJMOVE I OSTALE OBVEZE","OBVEZE PREMA DOBAVLJAČIMA, ZA PREDUJMOVE I OSTALE OBVEZE"
"220","Obveze prema dobavljačima u zemlji (analitika prema dobavljačima)","Obveze prema dobavljačima u zemlji (analitika prema dobavljačima)"
"2200","Dobavljači dobara","Dobavljači dobara"
"2201","Dobavljači usluga","Dobavljači usluga"
"2202","Dobavljači opreme, postrojenja i nekretnina","Dobavljači opreme, postrojenja i nekretnina"
"2203","Dobavljači nematerijalne imovine","Dobavljači nematerijalne imovine"
"2204","Dobavljači iz operativnog lizinga (za najmove)","Dobavljači iz operativnog lizinga (za najmove)"
"2205","Dobavljači iz ortačkog ugovora","Dobavljači iz ortačkog ugovora"
"2206","Dobavljači zadruge, ustanove i dr.","Dobavljači zadruge, ustanove i dr."
"221","Dobavljači iz inozemstva (analitika prema dobavljačima)","Dobavljači iz inozemstva (analitika prema dobavljačima)"
"2210","Dobavljači dobara iz inozemstva","Dobavljači dobara iz inozemstva"
"2211","Dobavljači usluga iz inozemstva","Dobavljači usluga iz inozemstva"
"2212","Dobavljači prava intelektualnog vlasništva, istraživanja tržišta i dr.","Dobavljači prava intelektualnog vlasništva, istraživanja tržišta i dr."
"2213","Dobavljači prava na franšizu i sl.","Dobavljači prava na franšizu i sl."
"222","Dobavljači fizičke osobe","Dobavljači fizičke osobe"
"2220","Dobavljači, obrtnici i slobodna zanimanja","Dobavljači, obrtnici i slobodna zanimanja"
"2221","Dobavljači fizičke osobe (za isporučene osnovne proizvode poljodjelstva, ribarstva i šumarstva)","Dobavljači fizičke osobe (za isporučene osnovne proizvode poljodjelstva, ribarstva i šumarstva)"
"2222","Dobavljači za isporučenu osobnu imovinu","Dobavljači za isporučenu osobnu imovinu"
"2223","Obveze s osnove autorskih prava, inovacija, patenata i sl.","Obveze s osnove autorskih prava, inovacija, patenata i sl."
"2224","Obveze s osnove ugovora o djelu i akviziterstva","Obveze s osnove ugovora o djelu i akviziterstva"
"2225","Obveze prema studentima i učenicima za rad preko studentskog servisa","Obveze prema studentima i učenicima za rad preko studentskog servisa"
"2226","Dobavljači kooperanti - fizičke osobe","Dobavljači kooperanti - fizičke osobe"
"2229","Ostali dobavljači - fizičke osobe","Ostali dobavljači - fizičke osobe"
"223","Dobavljači komunalnih usluga","Dobavljači komunalnih usluga"
"2230","Obveze za energetske isporuke","Obveze za energetske isporuke"
"2231","Obveze za usluge odvodnje i odvoza smeća","Obveze za usluge odvodnje i odvoza smeća"
"2232","Obveze za ostale komunalne usluge","Obveze za ostale komunalne usluge"
"224","Obveze za nefakturirane a preuzete isporuke robe i usluge","Obveze za nefakturirane a preuzete isporuke robe i usluge"
"225","Obveze za predujmove","Obveze za predujmove"
"2250","Primljeni predujmovi za koje su izdani računi s PDV-om","Primljeni predujmovi za koje su izdani računi s PDV-om"
"2251","Primljeni predujmovi koji nisu pod PDV-om","Primljeni predujmovi koji nisu pod PDV-om"
"2252","Primljeni predujmovi iz inozemstva","Primljeni predujmovi iz inozemstva"
"2253","Obveze za predujmove građana","Obveze za predujmove građana"
"23","OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE","OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE"
"230","Obveze prema zaposlenicima","Obveze prema zaposlenicima"
"2300","Obveze za neto-plaće","Obveze za neto-plaće"
"2301","Nadoknade plaća koje se refundiraju (od državnih institucija, od HZZO, od lokalne samoupr.)","Nadoknade plaća koje se refundiraju (od državnih institucija, od HZZO, od lokalne samoupr.)"
"2302","Obveze za nadoknade troškova (dnevnice, terenski dod.,troškovi sl. puta, km,dolazak na posao i dr.)","Obveze za nadoknade troškova (dnevnice, terenski dodatak, nadoknade troškova službenog puta, uključivo i kilometraža, nadoknade za dolazak na posao i dr.)"
"2303","Obveze za darove i potpore (božićnica, dar djeci, potpora zbog bolesti, regres za g. o. i sl.)","Obveze za darove i potpore (božićnica, dar djeci, potpora zbog bolesti, regres za g. o. i sl.)"
"2304","Obveze prema zaposlenima za primitke koji se smatraju dohotkom (prehrana, davanja u naravi i sl.)","Obveze prema zaposlenima za primitke koji se smatraju dohotkom (prehrana, davanja u naravi i sl.)"
"2305","Obveze prema zaposlenima zbog otpremnine, jubilarne, odvojeni život, pomoć obitelji umrlog posloprimca","Obveze prema zaposlenima s temelja otpremnine, jubilarne nagrade, nadoknade za odvojeni život, pomoći obitelji umrlog posloprimca i sl."
"2306","Obveze za obustave iz neto-plaća i nadoknada plaća","Obveze za obustave iz neto-plaća i nadoknada plaća"
"23060","Obveze za obustave iz neto-plaće za isplate kredita i pozajmica","Obveze za obustave iz neto-plaće za isplate kredita i pozajmica"
"23061","Obveze za obustave iz neto-plaća i nadoknada za sudske zabrane, kazne i sl.","Obveze za obustave iz neto-plaća i nadoknada za sudske zabrane, kazne i sl."
"23062","Obveze iz ovrha na neto-plaći","Obveze iz ovrha na neto-plaći"
"23063","Obveze za obustave iz neto-plaća i nadoknada plaća za članarine, i dr.","Obveze za obustave iz neto-plaća i nadoknada plaća za članarine, i dr."
"2307","Obveze prema zaposlenima za zatezne kamate i sl.","Obveze prema zaposlenima za zatezne kamate i sl."
"2308","Obveza prema zaposlenima za naknadu šteta: zbog ozljede na radu, neiskorištenog godišnjeg odmora i sl.","Obveza prema zaposlenima za naknadu šteta: zbog ozljede na radu, neiskorištenog godišnjeg odmora i sl."
"2309","Obveze za obračunanu bruto-plaću iz prošle poslovne godine (koje nisu isplaćene i XIII. plaća)","Obveze za obračunanu bruto-plaću iz prošle poslovne godine (koje nisu isplaćene i XIII. plaća)"
"231","Kratkoročne obveze iz nabava i potpora","Kratkoročne obveze iz nabava i potpora"
"2310","Obveze s temelja tekuće nabave u gotovini","Obveze s temelja tekuće nabave u gotovini"
"2311","Obveze prema vanjskim članovima uprave, nadzornog odbora, prokuristima, stečajnim upraviteljima i sl.","Obveze prema vanjskim članovima uprave, nadzornog odbora, prokuristima, stečajnim upraviteljima i sl."
"2312","Obveze za preuzeta plaćanja temeljem ugovora o cesiji, asignaciji i preuzimanjem duga","Obveze za preuzeta plaćanja temeljem ugovora o cesiji, asignaciji i preuzimanjem duga"
"2313","Obveze za ugovorene penale, kazne i sl.","Obveze za ugovorene penale, kazne i sl."
"2314","Obveze za darovanja (do 2% od ukupnog prihoda)","Obveze za darovanja (do 2% od ukupnog prihoda)"
"2315","Obveze za nadoknadu troškova (refundacije)","Obveze za nadoknadu troškova (refundacije)"
"2316","Obveze za naknadno odobrene bonifikacije, casasconte i druge popuste","Obveze za naknadno odobrene bonifikacije, casasconte i druge popuste"
"2317","Obveze za stipendije","Obveze za stipendije"
"2318","Obveze za primljene potpore (nisu za prihod)","Obveze za primljene potpore (nisu za prihod)"
"2319","Ostale kratkoročne obveze","Ostale kratkoročne obveze"
"232","Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)","Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)"
"2320","Obveze za ugovorenu kamatu","Obveze za ugovorenu kamatu"
"2321","Obveze za zateznu kamatu","Obveze za zateznu kamatu"
"2322","Obveze za kamate na zajmove prema poduzetnicima","Obveze za kamate na zajmove prema poduzetnicima"
"233","Obveze po obračunu prodanih dobara primljenih u komisiju ili konsignaciju","Obveze po obračunu prodanih dobara primljenih u komisiju ili konsignaciju"
"2330","Obveze po obračunu za prodana dobra","Obveze po obračunu za prodana dobra"
"2331","Obveze za isplatu komitentu","Obveze za isplatu komitentu"
"2332","Obveze prema nalogodavatelju iz zastupničke prodaje","Obveze prema nalogodavatelju iz zastupničke prodaje"
"234","Obveze prema osiguravajućim društvima","Obveze prema osiguravajućim društvima"
"2340","Obveze iz osiguranja imovine i osoba","Obveze iz osiguranja imovine i osoba"
